item	corpus	variety	time	file	category	genre	relativizer	which	that	zero	preceding_rel	dist_to_preceding_rel	nested	RC_function	ant_length	ant_given	ant_definite	ant_frequency	ant_head_to_RC	RC_length	levyJaeger	TTR	mean_word_length	mean_sentence_length	stranding	split_infinitive	as_if_though	passives	passive_active_ratio	shall_will	nouniness	noun_verb_ratio	personal_pron	subord_conj	animacy	ant_head	adjacency	ant_number	ant_POS	plain_text
2085	Frown	AmE	1991	Frown_G25	G	generalprose	THAT	no	THAT	no	THAT	161	no	Obj	8	yes	def	0.97703957	6	14	<NN1>control <NN1>policy <NP1>Rome	0.448949682	5.060087934	24.96341463	0	0	0	136.7855398	0.325581395	NA	2804.103566	2.463519313	288.2266732	234.4894968	inanimate	<NN1>quid	adjacent	singular	noun	the quid pro quo on birth control policy that Rome is said to have exacted from Washington as the price of alliance
2084	Frown	AmE	1991	Frown_G25	G	generalprose	THAT	no	THAT	no	THAT	266	no	Obj	2	no	indef	0.97703957	0	6	<AT1>a <NN1>vision <NP1>Reagan	0.448949682	5.060087934	24.96341463	0	0	0	136.7855398	0.325581395	NA	2804.103566	2.463519313	288.2266732	234.4894968	inanimate	<NN1>vision	adjacent	singular	noun	a vision that Reagan and the pope shared
2079	Frown	AmE	1991	Frown_G25	G	generalprose	ZERO	no	no	ZERO	THAT	17	yes	Obj	5	no	def	0	0	5	<JJ>neo-Platonic <NN2>views <PPHS1>he	0.448949682	5.060087934	24.96341463	0	0	0	136.7855398	0.325581395	NA	2804.103566	2.463519313	288.2266732	234.4894968	inanimate	<NN2>views	adjacent	other	other	the Stoic and neoPlatonic views he had learned in school
4464	LOB	BrE	1961	LOB_R07	R	fiction	THAT	no	THAT	no	ZERO	43	no	Obj	2	yes	indef	2.442598925	0	6	<NN2>mowers <,>, <PPIS2>we	0.437225208	4.38544211	15.74615385	0.004901961	4.885197851	0	63.50757206	0.166666667	0.058823529	2051.783097	1.337579618	649.7313141	234.4894968	inanimate	<NN2>mowers	adjacent	plural	noun	old mowers  that we made fifty years ago
4466	LOB	BrE	1961	LOB_R07	R	fiction	ZERO	no	no	ZERO	THAT	66	no	Obj	5	yes	def	1.465559355	4	2	<JJ>circular <NN2>rosebeds <PPY>you	0.437225208	4.38544211	15.74615385	0.004901961	4.885197851	0	63.50757206	0.166666667	0.058823529	2051.783097	1.337579618	649.7313141	234.4894968	inanimate	<DD2>those	adjacent	plural	other	those silly little circular rosebeds you have
4470	LOB	BrE	1961	LOB_R07	R	fiction	THAT	no	THAT	no	THAT	372	no	Obj	7	no	def	0.488519785	3	10	<JJ>distinct <,>, <PPIS2>we	0.437225208	4.38544211	15.74615385	0.004901961	4.885197851	0	63.50757206	0.166666667	0.058823529	2051.783097	1.337579618	649.7313141	234.4894968	inanimate	<NN2>images	non-adjacent	plural	noun	the clear photographic images  bright  separate  distinct  that we all had at the height of our powers
4463	LOB	BrE	1961	LOB_R07	R	fiction	ZERO	no	no	ZERO	THAT	86	no	Obj	3	no	def	0.488519785	0	2	<JJT>cheapest <NN1>model <PPIS2>we	0.437225208	4.38544211	15.74615385	0.004901961	4.885197851	0	63.50757206	0.166666667	0.058823529	2051.783097	1.337579618	649.7313141	234.4894968	inanimate	<NN1>model	adjacent	singular	noun	the cheapest model we make
4467	LOB	BrE	1961	LOB_R07	R	fiction	ZERO	no	no	ZERO	ZERO	28	no	Obj	2	no	def	0.488519785	0	2	<AT>the <NN1>price <PPY>you	0.437225208	4.38544211	15.74615385	0.004901961	4.885197851	0	63.50757206	0.166666667	0.058823529	2051.783097	1.337579618	649.7313141	234.4894968	inanimate	<NN1>price	adjacent	singular	noun	the price you paid
3697	FLOB	BrE	1991	FLOB_L04	L	fiction	ZERO	no	no	ZERO	ZERO	18	no	Obj	5	no	indef	0.91954023	3	5	<NN1>identity <NN1>crisis <NP1>Patterson	0.39862069	4.177471264	13.0239521	0.01754386	0	0	18.3908046	0.025316456	2	1788.505747	0.987309645	1245.977011	234.4827586	inanimate	<NN1>sort	adjacent	singular	noun	a sort of identity crisis Patterson sometimes sees in widows
3694	FLOB	BrE	1991	FLOB_L04	L	fiction	ZERO	no	no	ZERO	THAT	26	no	Obj	2	yes	def	0.91954023	0	7	<AT>the <NN1>strain <PPIS1>I	0.39862069	4.177471264	13.0239521	0.01754386	0	0	18.3908046	0.025316456	2	1788.505747	0.987309645	1245.977011	234.4827586	inanimate	<NN1>strain	adjacent	singular	noun	the strain I ve helped to impose on you
